,Brand,Product Name,Screen Size (Inches),Display type,Resolution (Pixels),Processor,Clock Speed (GHz),Core Count,Graphics,RAM (GB),RAM type,Storage,Wi-Fi,OS,Weight (kg),Warranty,Warranty,Price (AUD),Link
0,Asus,"Vivobook S 15 15.6"" 3K OLED Laptop (Copilot+ PC)[1TB]",15.6,,2880 x 1620,Qualcomm Snapdragon,,12 Core,Qualcomm® Adreno™ GPU,32,DDR5 SDRAM,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.42,1 Year,,2024,https://www.jbhifi.com.au/products/asus-vivobook-s-15-15-6-3k-oled-laptop-copilot-pc1tb
1,HP,"OmniBook X Flip 14"" 3K UWVA 2-in-1 OLED Laptop (Intel Core Ultra 5)[512GB]",14.0,UWVA,2880 x 1800,Intel Core Ultra 5,2.1,8 Core,,16,LPDDR5x,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.38,1 Year,,1599,https://www.jbhifi.com.au/products/hp-omnibook-x-flip-14-3k-uwva-2-in-1-oled-laptop-intel-core-ultra-5512gb
2,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Midnight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-midnight
3,Apple,"MacBook Pro 14-inch with M5 Chip, 512GB/16GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,,2499,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-512gb-16gb-space-black
4,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Starlight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-starlight
5,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Sky Blue)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-sky-blue
6,Apple,"MacBook Air 13-inch with M2 Chip, 256GB/16GB (Midnight)",13.6,,2880 x 1864,Apple M2,,8 Core,8 core GPU,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1249,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m2-chip-256gb-16gb-midnight
7,HP,"Laptop 15-fd0739TU 15.6"" FHD laptop (Intel Core i5)[512GB/16GB]",15.6,SVA,1920 x 1080,Intel Core i5,1.3,10 Core,Intel Iris Xe,16,DDR4 SDRAM,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,,,1 Year,799,https://www.jbhifi.com.au/products/hp-laptop-15-fd0739tu-15-6-fhd-laptop-intel-core-i5512gb-16gb
8,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Midnight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-midnight
9,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Silver)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-silver
10,HP,"Laptop 15-fc0433AU 15.6"" FHD Laptop (Ryzen 5)[512GB]",15.6,SVA,1920 x 1080,AMD Ryzen 5,2.3,6 Core,AMD Radeon Graphics,8,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.59,1 Year,,649,https://www.jbhifi.com.au/products/hp-laptop-15-fc0433au-15-6-fhd-laptop-ryzen-5512gb
11,HP,"Laptop 15-fd0738TU 15.6"" FHD Laptop (Intel Core i7)[512GB]",15.6,SVA,1920 x 1080,Intel Core i7,1.7,10 Core,Intel® Iris® Xᵉ Graphics,16,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,1.59,1 Year,,899,https://www.jbhifi.com.au/products/hp-laptop-15-fd0738tu-15-6-fhd-laptop-intel-core-i7512gb
12,Dell,"15 DC15255 15.6"" FHD 120Hz Laptop (Ryzen 5)[512GB]",15.6,WVA,1920 x 1080,AMD Ryzen 5,,Quad Core,AMD Radeon 610M,8,LPDDR5,512GB,Wi-Fi 5 (802.11 ac),Windows 11 Home,1.9,1 Year,,999,https://www.jbhifi.com.au/products/dell-15-dc15255-15-6-fhd-120hz-laptop-ryzen-5512gb
13,ASUS,"V16 16"" Full HD 144Hz Gaming Laptop (Intel Core 5)[GeForce RTX 4050]",16.0,,1920 x 1080,Intel Core 5,2.2,8 Core,,32,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.77,1 Year,,1399,https://www.jbhifi.com.au/products/asus-v16-16-full-hd-144hz-gaming-laptop-intel-core-5geforce-rtx-4050
14,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Sky Blue)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-sky-blue
15,ASUS,"Zenbook 14 14"" 3K OLED Laptop (Intel Core Ultra 7)[1TB]",14.0,OLED,2880 x 1800,Intel Core Ultra 7,5.1,16 Core,Intel® Arc™ Graphics,16,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.28,1 Year,,2599,https://www.jbhifi.com.au/products/asus-zenbook-14-14-3k-oled-laptop-intel-core-ultra-71tb
16,Apple,"MacBook Pro 14-inch with M4 Chip, 512GB/16GB (Space Black)[2024]",14.0,,3124 x 1964,Apple M4,,10 Core,10 core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequioa,,1 Year,,2298,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m4-chip-512gb-16gb-space-black2024
17,Lenovo,"LOQ 15.6"" FHD 144Hz Gaming Laptop (Intel Core i7)[GeForce RTX 4050]",15.6,IPS,1920 x 1080,Intel Core i7,,14 Core,,24,DDR5 SDRAM,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,2.38,1 Year,,1999,https://www.jbhifi.com.au/products/lenovo-loq-15-6-fhd-144hz-gaming-laptop-intel-core-i7geforce-rtx-4050-3
18,Apple,"MacBook Pro 14-inch with M5 Chip, 1TB/24GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,24,,1TB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,,3099,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-1tb-24gb-space-black
19,HP,"Laptop 15-fc0474AU 15.6"" FHD laptop (Ryzen 7)[512GB]",15.6,SVA,1920 x 1080,AMD Ryzen 7,2.0,8 Core,AMD Radeon Graphics,16,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.59,1 Year,,799,https://www.jbhifi.com.au/products/hp-laptop-15-fc0474au-15-6-fhd-laptop-ryzen-7512gb
20,Lenovo,"IdeaPad 3 15.6"" FHD Touchscreen Chromebook Laptop (Intel N4500)[128GB]",15.6,IPS,1920 x 1080,Intel Core Celeron,,Dual Core,integrated Intel UHD,8,,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.63,1 Year,,449,https://www.jbhifi.com.au/products/lenovo-ideapad-3-15-6-fhd-touchscreen-chromebook-laptop-intel-n4500128gb
21,Asus,"VivoBook 15.6"" Full HD Thin & Light Laptop (1TB)[Intel Core i7]",15.6,IPS,1920 x 1200,Intel Core i7,1.7,10 Core,,16,,,Wi-Fi 6E (802.11 ax),Windows 11 Home,,1 Year,,899,https://www.jbhifi.com.au/products/asus-vivobook-15-6-full-hd-thin-light-laptop-1tbintel-core-i7
22,Microsoft,"Surface Pro Copilot+ PC 12"" Snapdragon X Plus 8 core/16GB/256GB (Platinum)",12.0,PixelSense LCD display,2196 x 1464 (220 PPI),Qualcomm Snapdragon,,8 Core,integrated,16,"LPDDR5x, LPDDR5x",256GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.143,2 Years,,999,https://www.jbhifi.com.au/products/microsoft-surface-pro-copilot-pc-12-snapdragon-x-plus-8-core-16gb-256gb-platinum
23,Microsoft,"Surface Laptop CoPilot+ PC 13"" Snapdragon X Plus 8 core/16GB/256GB (Platinum)",13.0,PixelSense™ Flow Display,1920 x 1280,Qualcomm Snapdragon,,8 Core,integrated,16,LPDDR5x,256GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.879,2 Years,,1199,https://www.jbhifi.com.au/products/microsoft-surface-laptop-copilot-pc-13-snapdragon-x-plus-8-core-16gb-256gb-platinum
