Index,Brand,Product Name,Screen Size (Inches),Display type,Resolution (Pixels),Processor,Clock Speed (GHz),Core Count,Graphics,RAM (GB),RAM type,Storage,Wi-Fi,OS,Weight (kg),Warranty,Price (AUD),Link
0,Framework,Laptop 12 (Intel® Core i3),12.2,LCD,1920 x 1200,Intel Core i3‑1315U,1.2,6 cores,Intel® UHD Graphics,8,SO-DIMM DDR5,256,Intel AX211 Wi-Fi 6E,BYO (Bring your own),~1.2kg,1 Year Framework Limited Warranty,909,https://frame.work/au/en/laptop12
1,Framework,Laptop 12 (Intel® Core i5),12.2,LCD,1920 x 1200,Intel Core i5‑1334U,1.3,10 cores,Intel® UHD Graphics,8,SO-DIMM DDR5,256,Intel AX211 Wi-Fi 6E,BYO (Bring your own),~1.2kg,1 Year Framework Limited Warranty,1189,https://frame.work/au/en/laptop12
2,Framework,Laptop 13 (Intel® Ultra 5),13.5,LCD,2256 × 1504 (upgradable),Intel Core Ultra 5 125H,3.6,12 cores,Intel® Arc Graphics,8,SO‑DIMM DDR5,500,Intel® WiFi 6E AX210 (No Vpro),BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,1439,https://frame.work/au/en/laptop13
3,Framework,Laptop 13 (Intel® Ultra 7 155H),13.5,LCD,2256 × 1504 (upgradable),Intel Core Ultra 7 155H,3.8,14 cores,Intel® Arc Graphics,8,SO‑DIMM DDR5,500,Intel® WiFi 6E AX210 (No Vpro),BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,1959,https://frame.work/au/en/laptop13
4,Framework,Laptop 13 (Intel® Ultra 7 165H),13.5,LCD,2880x1920,Intel Core Ultra 7 165H,3.8,14 cores,Intel® Arc Graphics,8,SO‑DIMM DDR5,500,Intel® WiFi 6E AX210 (No Vpro),BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,2659,https://frame.work/au/en/laptop13
5,Framework,Laptop 13 (Ryzen™ AI 5),13.5,LCD,2256 × 1504 (upgradable),Ryzen™ AI 5 340,3.0,6 cores,AMD Radeon™ 840M,8,SO‑DIMM DDR5,500,AMD RZ717 Wi-Fi 7,BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,1579,https://frame.work/au/en/laptop13
6,Framework,Laptop 13 (Ryzen™ AI 7),13.5,LCD,2256 × 1504 (upgradable),Ryzen™ AI 7 350,3.2,8 cores,AMD Radeon™ 860M,8,SO‑DIMM DDR5,500,AMD RZ717 Wi-Fi 7,BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,2159,https://frame.work/au/en/laptop13
7,Framework,Laptop 13 (Ryzen™ AI 9),13.5,LCD,2880x1920,Ryzen™ AI 9 HX 370,3.5,12 cores,AMD Radeon™ 890M,8,SO‑DIMM DDR5,500,AMD RZ717 Wi-Fi 7,BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,$2919+,https://frame.work/au/en/laptop13
8,Framework,Laptop 16 (Ryzen™ AI 7 350),16.0,LCD,2560x1600,Ryzen™ AI 7 350,3.2,8 cores,AMD Radeon™ 860M/NVIDIA® GeForce RTX™ 5070 Laptop GPU/Radeon™ RX 7700S (2nd Gen),8,SO‑DIMM DDR5,500,AMD RZ717 Wi-Fi 7,BYO (Bring your own),~2.1kg (~2.4kg with GPU module),1 Year Framework Limited Warranty,2659,https://frame.work/au/en/laptop16
9,Framework,Laptop 16 (Ryzen™ AI 9 HX 370),16.0,LCD,2560x1600,Ryzen™ AI 9 HX 370,3.5,12 cores,AMD Radeon™ 890M/NVIDIA® GeForce RTX™ 5070 Laptop GPU/Radeon™ RX 7700S (2nd Gen),8,SO‑DIMM DDR5,500,AMD RZ717 Wi-Fi 7,BYO (Bring your own),~2.1kg (~2.4kg with GPU module),1 Year Framework Limited Warranty,3179,https://frame.work/au/en/laptop16
10,Framework,Laptop 16 (Ryzen™ 7 7840HS),16.0,LCD,2560x1600,Ryzen™ 7 7840HS,3.0,8 cores,AMD Radeon™ 780M/NVIDIA® GeForce RTX™ 5070 Laptop GPU/Radeon™ RX 7700S (2nd Gen),8,SO‑DIMM DDR5,500,AMD RZ717 Wi-Fi 7,BYO (Bring your own),~2.1kg (~2.4kg with GPU module),1 Year Framework Limited Warranty,2219,https://frame.work/au/en/laptop16
11,Framework,Laptop 16 (Ryzen™ 9 7940HS),16.0,LCD,2560x1600,Ryzen™ 9 7940HS,3.3,8 cores,AMD Radeon™ 780M/NVIDIA® GeForce RTX™ 5070 Laptop GPU/Radeon™ RX 7700S (2nd Gen),8,SO‑DIMM DDR5,500,AMD RZ717 Wi-Fi 7,BYO (Bring your own),~2.1kg (~2.4kg with GPU module),1 Year Framework Limited Warranty,2549,https://frame.work/au/en/laptop16
12,Asus,Vivobook S 15 15.6 3K OLED Laptop (Copilot+ PC)[1TB],15.6,,2880 x 1620,Qualcomm Snapdragon,,12 Core,Qualcomm® Adreno™ GPU,32,DDR5 SDRAM,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.42,1 Year,2024,https://www.jbhifi.com.au/products/asus-vivobook-s-15-15-6-3k-oled-laptop-copilot-pc1tb
13,HP,OmniBook X Flip 14 3K UWVA 2-in-1 OLED Laptop (Intel Core Ultra 5)[512GB],14.0,UWVA,2880 x 1800,Intel Core Ultra 5,2.1,8 Core,,16,LPDDR5x,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.38,1 Year,1599,https://www.jbhifi.com.au/products/hp-omnibook-x-flip-14-3k-uwva-2-in-1-oled-laptop-intel-core-ultra-5512gb
14,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Midnight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-midnight
15,Apple,"MacBook Pro 14-inch with M5 Chip, 512GB/16GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,2499,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-512gb-16gb-space-black
16,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Starlight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-starlight
17,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Sky Blue)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-sky-blue
18,Apple,"MacBook Air 13-inch with M2 Chip, 256GB/16GB (Midnight)",13.6,,2880 x 1864,Apple M2,,8 Core,8 core GPU,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1249,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m2-chip-256gb-16gb-midnight
19,HP,Laptop 15-fd0739TU 15.6 FHD laptop (Intel Core i5)[512GB/16GB],15.6,SVA,1920 x 1080,Intel Core i5,1.3,10 Core,Intel Iris Xe,16,DDR4 SDRAM,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,,,799,https://www.jbhifi.com.au/products/hp-laptop-15-fd0739tu-15-6-fhd-laptop-intel-core-i5512gb-16gb
20,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Midnight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-midnight
21,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Silver)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-silver
22,HP,Laptop 15-fc0433AU 15.6 FHD Laptop (Ryzen 5)[512GB],15.6,SVA,1920 x 1080,AMD Ryzen 5,2.3,6 Core,AMD Radeon Graphics,8,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.59,1 Year,649,https://www.jbhifi.com.au/products/hp-laptop-15-fc0433au-15-6-fhd-laptop-ryzen-5512gb
23,HP,Laptop 15-fd0738TU 15.6 FHD Laptop (Intel Core i7)[512GB],15.6,SVA,1920 x 1080,Intel Core i7,1.7,10 Core,Intel® Iris® Xᵉ Graphics,16,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,1.59,1 Year,899,https://www.jbhifi.com.au/products/hp-laptop-15-fd0738tu-15-6-fhd-laptop-intel-core-i7512gb
24,Dell,15 DC15255 15.6 FHD 120Hz Laptop (Ryzen 5)[512GB],15.6,WVA,1920 x 1080,AMD Ryzen 5,,Quad Core,AMD Radeon 610M,8,LPDDR5,512GB,Wi-Fi 5 (802.11 ac),Windows 11 Home,1.9,1 Year,999,https://www.jbhifi.com.au/products/dell-15-dc15255-15-6-fhd-120hz-laptop-ryzen-5512gb
25,ASUS,V16 16 Full HD 144Hz Gaming Laptop (Intel Core 5)[GeForce RTX 4050],16.0,,1920 x 1080,Intel Core 5,2.2,8 Core,,32,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.77,1 Year,1399,https://www.jbhifi.com.au/products/asus-v16-16-full-hd-144hz-gaming-laptop-intel-core-5geforce-rtx-4050
26,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Sky Blue)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-sky-blue
27,ASUS,Zenbook 14 14 3K OLED Laptop (Intel Core Ultra 7)[1TB],14.0,OLED,2880 x 1800,Intel Core Ultra 7,5.1,16 Core,Intel® Arc™ Graphics,16,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.28,1 Year,2599,https://www.jbhifi.com.au/products/asus-zenbook-14-14-3k-oled-laptop-intel-core-ultra-71tb
28,Apple,"MacBook Pro 14-inch with M4 Chip, 512GB/16GB (Space Black)[2024]",14.0,,3124 x 1964,Apple M4,,10 Core,10 core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequioa,,1 Year,2298,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m4-chip-512gb-16gb-space-black2024
29,Lenovo,LOQ 15.6 FHD 144Hz Gaming Laptop (Intel Core i7)[GeForce RTX 4050],15.6,IPS,1920 x 1080,Intel Core i7,,14 Core,,24,DDR5 SDRAM,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,2.38,1 Year,1999,https://www.jbhifi.com.au/products/lenovo-loq-15-6-fhd-144hz-gaming-laptop-intel-core-i7geforce-rtx-4050-3
30,Apple,"MacBook Pro 14-inch with M5 Chip, 1TB/24GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,24,,1TB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,3099,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-1tb-24gb-space-black
31,HP,Laptop 15-fc0474AU 15.6 FHD laptop (Ryzen 7)[512GB],15.6,SVA,1920 x 1080,AMD Ryzen 7,2.0,8 Core,AMD Radeon Graphics,16,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.59,1 Year,799,https://www.jbhifi.com.au/products/hp-laptop-15-fc0474au-15-6-fhd-laptop-ryzen-7512gb
32,Lenovo,IdeaPad 3 15.6 FHD Touchscreen Chromebook Laptop (Intel N4500)[128GB],15.6,IPS,1920 x 1080,Intel Core Celeron,,Dual Core,integrated Intel UHD,8,,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.63,1 Year,449,https://www.jbhifi.com.au/products/lenovo-ideapad-3-15-6-fhd-touchscreen-chromebook-laptop-intel-n4500128gb
33,Asus,VivoBook 15.6 Full HD Thin & Light Laptop (1TB)[Intel Core i7],15.6,IPS,1920 x 1200,Intel Core i7,1.7,10 Core,,16,,,Wi-Fi 6E (802.11 ax),Windows 11 Home,,1 Year,899,https://www.jbhifi.com.au/products/asus-vivobook-15-6-full-hd-thin-light-laptop-1tbintel-core-i7
34,Microsoft,Surface Pro Copilot+ PC 12 Snapdragon X Plus 8 core/16GB/256GB (Platinum),12.0,PixelSense LCD display,2196 x 1464 (220 PPI),Qualcomm Snapdragon,,8 Core,integrated,16,"LPDDR5x, LPDDR5x",256GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.143,2 Years,999,https://www.jbhifi.com.au/products/microsoft-surface-pro-copilot-pc-12-snapdragon-x-plus-8-core-16gb-256gb-platinum
35,Microsoft,Surface Laptop CoPilot+ PC 13 Snapdragon X Plus 8 core/16GB/256GB (Platinum),13.0,PixelSense™ Flow Display,1920 x 1280,Qualcomm Snapdragon,,8 Core,integrated,16,LPDDR5x,256GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.879,2 Years,1199,https://www.jbhifi.com.au/products/microsoft-surface-laptop-copilot-pc-13-snapdragon-x-plus-8-core-16gb-256gb-platinum
36,HP,OmniBook 5 NG AI 16 2K Laptop (Ryzen AI 5)[512GB],16.0,IPS,1920 x 1200,AMD Ryzen AI 5,2.0,6 Core,AMD Radeon™ 840M Graphics,16,LPDDR5x,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.79,1 Year,1899,https://www.jbhifi.com.au/products/hp-omnibook-5-ng-ai-16-2k-laptop-ryzen-ai-5512gb
37,HP,OmniBook 5 Flip 14 2K 2-in-1 Laptop (Intel Core i5)[Blue/256GB],14.0,IPS,1920 x 1200,Intel Core i5,3.4,10 Core,Intel® Iris® Xᵉ Graphics,16,LPDDR5x,256GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.65,1 Year,929,https://www.jbhifi.com.au/products/hp-omnibook-5-flip-14-2k-2-in-1-laptop-intel-core-i5blue-256gb
38,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Starlight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-starlight
39,Lenovo,IdeaPad Slim 3i 14 WUXGA Laptop (Intel Core i7)[512GB],14.0,IPS,1920 x 1200,Intel Core i7,2.4,10 Core,Integrated Intel® UHD Graphics,16,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.39,1 Year,899,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3i-14-wuxga-laptop-intel-core-i7512gb
40,ASUS,CX14 14 Chromebook Laptop (Intel N4500)[128GB/4GB],14.0,,1920 x 1080,Intel Core Celeron,1.1,Dual Core,,4,,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.4,1 Year,229,https://www.jbhifi.com.au/products/asus-cx14-14-chromebook-laptop-intel-n4500128gb-4gb
41,Apple,"MacBook Air 13-inch with M2 Chip, 256GB/16GB (Starlight)",13.6,,2880 x 1864,Apple M2,,8 Core,8 core GPU,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,1249,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m2-chip-256gb-16gb-starlight
42,Apple,"MacBook Pro 14-inch with M4 Pro Chip, 512GB/24GB (Space Black)[2024]",14.0,,3124 x 1964,Apple M4 Pro,,12 Core,16 core GPU,24,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequioa,,1 Year,3127,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m4-pro-chip-512gb-24gb-space-black2024
43,Microsoft,Surface Laptop (7th Edition) Copilot+ PC 13.8 Snapdragon X Plus 10 core/16GB/512GB (Black),13.8,,2304 x 1536,Qualcomm Snapdragon,3.4,10 Core,Qualcomm® Adreno™ GPU,16,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.22,1 Year,1499,https://www.jbhifi.com.au/products/microsoft-surface-laptop-7th-edition-copilot-pc-13-8-snapdragon-x-plus-10-core-16gb-512gb-black
44,HP,14a-nf0005TU 14 HD Touchscreen Chromebook Laptop (Intel N100)[64GB],14.0,SVA,1366 x 768,Intel N,1.0,Quad Core,Intel® UHD Graphics,4,LPDDR5,64GB,Wi-Fi 6E (802.11 ax),Google Chrome,1.45,1 Year,299,https://www.jbhifi.com.au/products/hp-14a-nf0005tu-14-hd-touchscreen-chromebook-laptop-intel-n10064gb
45,Lenovo,IdeaPad Slim 3 14 HD Chromebook Laptop (128GB),14.0,TN,1366 x 768,MTK,2.05,8 Core,,4,DDR4 SDRAM,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.3,1 Year,329,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3-14-hd-chromebook-laptop-128gb
46,Asus,TUF A16 16 WUXGA Gaming Laptop (AMD Ryzen 9)[GeForce RTX 5070],16.0,IPS,1920 x 1200,AMD Ryzen 9,2.4,16 Core,,32,,2TB,Wi-Fi 6E (802.11 ax),Windows 11 Home,2.2,1 Year,2379,https://www.jbhifi.com.au/products/asus-tuf-a16-16-wuxga-gaming-laptop-amd-ryzen-9geforce-rtx-5070
47,Apple,"MacBook Pro 14-inch with M5 Chip, 1TB/16GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,1TB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,2799,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-1tb-16gb-space-black
48,Apple,"MacBook Pro 14-inch with M5 Chip, 512GB/16GB (Silver)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,2499,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-512gb-16gb-silver
49,Lenovo,IdeaPad S3i 15.6 FHD Laptop (Intel Core i3)[512GB],15.6,TN,1920 x 1080,Intel Core i3,3.3,6 Core,,8,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.62,1 Year,549,https://www.jbhifi.com.au/products/lenovo-ideapad-s3i-15-6-fhd-laptop-intel-core-i3512gb
50,Lenovo,Legion 5i 15.1 WQXGA 165Hz OLED Gaming Laptop (Intel Core i7)[GeForce RTX 5050],15.1,OLED,2560 x 1600,Intel Core i7,,20 Core,,24,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.9,1 Year,2499,https://www.jbhifi.com.au/products/lenovo-legion-5i-15-1-wqxga-165hz-oled-gaming-laptop-intel-core-i7geforce-rtx-5050
51,Asus,TUF A16 16 WUXGA 165Hz Gaming Laptop (AMD Ryzen 9)[GeForce RTX 5060],16.0,IPS,1920 x 1200,AMD Ryzen 9,2.4,16 Core,,32,,1TB,Wi-Fi 6E (802.11 ax),Windows 11 Home,,1 Year,2099,https://www.jbhifi.com.au/products/asus-tuf-a16-16-wuxga-165hz-gaming-laptop-amd-ryzen-9geforce-rtx-5060
52,HP,Laptop 15-fd0741TU 15.6 Full HD Laptop (Intel Core i5)[256GB],15.6,IPS,1920 x 1080,Intel Core i5,1.3,10 Core,Intel® Iris® Xᵉ Graphics,8,DDR4,256GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,1.59,1 Year,599,https://www.jbhifi.com.au/products/hp-laptop-15-fd0741tu-15-6-full-hd-laptop-intel-core-i5256gb
53,HP,OmniBook 5 NG AI PC 14-he0013QU 14 WUXGA OLED Copilot+ PC Laptop (Snapdragon X1)[512GB/16GB],14.0,OLED,1920 x 1200,Qualcomm Snapdragon,2.0,8 Core,Qualcomm Adreno GPU,16,LPDDR5,512GB,Wi-Fi 6E (802.11 ax),Windows 11 Home,1.35,1 Year,997,https://www.jbhifi.com.au/products/hp-omnibook-5-ng-ai-pc-14-he0013qu-14-wuxga-oled-copilot-pc-laptop-snapdragon-x1512gb-16gb
