Product_Name,Price_AUD,Link,Computer type,Laptop series,Display size (inches),Screen size range,Resolution (Pixels),Screen Resolution,Refresh Rate (Hz),Processor Type,Processor Model Number,Processor Cores,Processor Memory Cache,Processor Max. Clock Speed (GHz),Copilot+ PC,AI features,RAM (GB),RAM type,SSD storage,SSD form factor,Total Storage,Graphics processor,HDMI ports,USB 3.2 Ports,USB-C Ports,USB (Type-C) Port,Headphone port (3.5mm),Webcam,Bluetooth,Backlit keyboard,Wi-Fi,Battery life,Battery WHr,Battery cell count,Operating system,Colour,Product Height (mm),Product Width (mm),Product Depth (mm),Product Weight (kg),Lightweight,Manufacturer's warranty,Display type,Touchscreen,Processor Clock Speed (GHz),USB Ports,Thunderbolt 4.0 ports,Charge port,Card reader,RAM speeds,Manufacturer's Warranty,USB 2.0 Ports,Expandable memory slot(s),Graphics memory,Gaming PC,Graphics card series,Ethernet / LAN ports,eMMC storage,Microsoft Surface type,Neural Processing Unit (NPU),TOPS (AI metric),Travel laptop,Surface Connect ports,Thunderbolt 5.0 ports,Battery capacity (mAh),PC Gaming Device,Memory type,Performance Laptop,Tablet Type,Aspect ratio,RAM module configuration,Flash storage,Expandable storage type,USB 3.1 Ports,Intel Evo device,Response Time (ms),Warranty notes,Thunderbolt 1.0 ports,Contains button battery,Product condition,Network compatibility,USB 3.0 Ports,Mini HDMI ports,Thunderbolt 3.0 ports,Internal memory,Power supply type,Virtual Assistant Built-in,Pack quantity
"Asus Vivobook S 15 15.6"" 3K OLED Laptop (Copilot+ PC)[1TB]",2024,https://www.jbhifi.com.au/products/asus-vivobook-s-15-15-6-3k-oled-laptop-copilot-pc1tb,Laptop,ASUS VivoBook,15.6,"15"" to 16.9""",2880 x 1620,3K,120,Qualcomm Snapdragon,Snapdragon® X Elite X1E 78 100,12 Core,42MB,3.4,Yes,"Microsoft Copilot, Copilot keyboard key",32,DDR5 SDRAM,1TB,M.2,1TB,Qualcomm® Adreno™ GPU,1,2,2,4.0,Yes,FHD,v5.4,Yes,Wi-Fi 7 (802.11 be),Up to 18 hours (typical device usage),70,3,Windows 11 Home,Silver,226.9,352.6,15.9,1.42,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP OmniBook X Flip 14"" 3K UWVA 2-in-1 OLED Laptop (Intel Core Ultra 5)[512GB]",1599,https://www.jbhifi.com.au/products/hp-omnibook-x-flip-14-3k-uwva-2-in-1-oled-laptop-intel-core-ultra-5512gb,Laptop,,14,"14"" to 14.9""",2880 x 1800,3K,,Intel Core Ultra 5,Intel® Core™ Ultra 5 226V,8 Core,8MB L3,4.5,Yes,,16,LPDDR5x,512GB,M.2,512GB,,1,,2,,Yes,Yes,v5.4,Yes,Wi-Fi 7 (802.11 be),,59,3,Windows 11 Home,Silver,218.5,313,14.6,1.38,,1 Year,UWVA,Yes,2.1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M4 Chip, 256GB/16GB (Midnight)",1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-midnight,MacBook Air,,13,"13"" to 13.9""",2560 x 1664,,,Apple M4,,10 Core,,,,,16,,256GB,,256GB,,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Midnight,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Pro 14-inch with M5 Chip, 512GB/16GB (Space Black)",2499,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-512gb-16gb-space-black,MacBook Pro,,14.2,"14"" to 14.9""",3024 x 1964,Liquid Retina XDR display,120,Apple M5,,10 Core,,,,,16,,512GB,,512GB,10 Core GPU,1,,3,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 24 Hours,72.4,,MacOS Sonoma,Space Black,,,,,,1 Year,,,,,3,MagSafe 3,SDXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M4 Chip, 256GB/16GB (Starlight)",1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-starlight,MacBook Air,,13,"13"" to 13.9""",2560 x 1664,,,Apple M4,,10 Core,,,,,16,,256GB,,256GB,,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Starlight,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M4 Chip, 256GB/16GB (Sky Blue)",1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-sky-blue,MacBook Air,,13,"13"" to 13.9""",2560 x 1664,,,Apple M4,,10 Core,,,,,16,,256GB,,256GB,,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Sky Blue,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M2 Chip, 256GB/16GB (Midnight)",1249,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m2-chip-256gb-16gb-midnight,MacBook Air,,13.6,"13"" to 13.9""",2880 x 1864,Liquid Retina display,,Apple M2,,8 Core,,,,,16,,256GB,,256GB,8 core GPU,,,,,Yes,Yes,v5.3,,Wi-Fi 6E (802.11 ax),Up to 18 hours Apple TV app movie playback,,,MacOS Sequoia,Midnight,,,,,,1 Year,,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 15-fd0739TU 15.6"" FHD laptop (Intel Core i5)[512GB/16GB]",799,https://www.jbhifi.com.au/products/hp-laptop-15-fd0739tu-15-6-fhd-laptop-intel-core-i5512gb-16gb,Laptop,,15.6,"15"" to 16.9""",1920 x 1080,Full HD,,Intel Core i5,1334U,10 Core,12MB L3,4.6,,,16,DDR4 SDRAM,512GB,M.2,512GB,Intel Iris Xe,1,,1,,Yes,Yes,v5.3,,Wi-Fi 6 (802.11 ax),Up to 7 hours 45 mins,41,3,Windows 11 Home S,Silver,236,359.8,18.6,,,,SVA,,1.3,2,,,,3200,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M4 Chip, 512GB/16GB (Midnight)",1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-midnight,MacBook Air,,13,"13"" to 13.9""",2560 x 1664,,,Apple M4,,10 Core,,,,,16,,512GB,,512GB,,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Midnight,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple MacBook Air 13-inch with M4 Chip, 256GB/16GB (Silver)",1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-silver,MacBook Air,,13,"13"" to 13.9""",2560 x 1664,,,Apple M4,,10 Core,,,,,16,,256GB,,256GB,,,,,,Yes,Yes,v5.3,Yes,Wi-Fi 6E (802.11 ax),Up to 18 hours,,,MacOS Sequoia,Silver,,,,,,1 Year,Liquid Retina LED-backlit display with IPS technology,,,,2,MagSafe 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
